,x,y,command
828,511.4098265887226,504.5802813105012,0
829,512.3637382885272,504.28158512142164,0
830,513.283064542045,503.8891489049639,1
831,514.1586197452399,503.40689375408067,1
832,514.9816556399413,502.83963820282725,1
833,515.743948723549,502.193050081162,1
834,516.4378824155523,501.4735898838629,1
835,517.0565231598846,500.6884462193996,1
836,517.5936897027239,499.84546398373334,1
837,518.0440148535378,498.95306597671,1
838,518.4029991122771,498.02016874422816,1
839,518.667055626893,497.0560934870601,1
840,518.8335460319769,496.07047292649435,0
841,518.9008068104355,495.0731550573694,0
842,518.8681659148039,494.07410475016394,0
843,518.7359494821218,493.0833041853056,0
844,518.3356764819237,491.57599026400857,0
845,516.8028818428736,486.81673185596856,0
846,515.2700872038236,482.05747344792854,0
847,513.7372925647735,477.2982150398886,0
848,512.2044979257234,472.5389566318486,0
849,510.67170328667345,467.77969822380857,0
850,509.1389086476234,463.02043981576855,1
851,507.6061140085734,458.2611814077286,1
852,506.07331936952335,453.5019229996886,1
853,504.5405247304733,448.7426645916486,1
854,503.00773009142324,443.98340618360857,1
855,501.4749354523732,439.22414777556855,1
856,499.94214081332314,434.46488936752854,1
857,498.4093461742731,429.70563095948853,1
858,496.87655153522303,424.9463725514485,1
859,495.34375689617303,420.1871141434085,1
860,493.810962257123,415.42785573536855,0
861,492.2781676180729,410.66859732732854,0
862,490.74537297902293,405.90933891928853,0
863,489.2125783399729,401.1500805112485,0
864,487.6797837009228,396.39082210320856,0
865,486.1469890618728,391.63156369516855,0
866,484.6141944228227,386.87230528712854,0
867,483.08139978377267,382.11304687908853,0
868,481.5486051447226,377.3537884710485,0
869,480.0158105056726,372.59453006300856,0
870,478.48301586662257,367.83527165496855,1
871,476.9502212275725,363.07601324692854,1
872,475.4174265885225,358.3167548388885,1
873,473.88463194947246,353.5574964308485,1
874,472.3518373104224,348.79823802280856,1
875,470.81904267137236,344.0389796147685,1
876,469.2862480323223,339.2797212067285,1
877,467.75345339327225,334.5204627986885,1
878,466.2206587542222,329.7612043906485,1
879,464.68786411517215,325.0019459826085,1
880,463.15506947612215,320.2426875745685,0
881,461.6222748370721,315.4834291665285,0
882,460.08948019802204,310.7241707584885,0
883,458.556685558972,305.9649123504485,0
884,457.023890919922,301.2056539424085,0
885,455.49109628087194,296.44639553436855,0
886,453.9583016418219,291.6871371263285,0
887,452.42550700277184,286.9278787182885,0
888,450.8927123637218,282.1686203102485,0
